col_0,Cus,Cut off Cargo,HQ Rqt,Inch,model,code,ERP,PO,_TTLShip,GAP,현재재고,Plan.2026-06-20 00:00:00,2026-06-21 00:00:00,2026-06-22 00:00:00,2026-06-23 00:00:00,2026-06-24 00:00:00,2026-06-25 00:00:00,2026-06-26 00:00:00,2026-06-27 00:00:00,2026-06-28 00:00:00,2026-06-29 00:00:00,2026-06-30 00:00:00,2026-07-01 00:00:00,2026-07-02 00:00:00,2026-07-03 00:00:00,예상계획,TTLstock,BALANCE,col_29
,SAMEX,2026-06-24 14:00:00,2026-06-30 00:00:00,"65""",P6519_HHS,BN44-01430A,0137650544CA,1265,1265,75,1340,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,2000,3340,2075,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"65""",L65FE8N_HHS,BN44-01441A,0137650521CA,500,,-144,,,,,,,,,,,,,,,,,,,
,SAMEX,Waiting booking,2026-06-30 00:00:00,"65""",L65FE8N_HHS,BN44-01441A,0137650521CA,1300,,-1444,,,,,,,,,,,0,0,0,0,0,,,,
,SIEL,2026-06-29 10:00:00,2026-06-26 00:00:00,"65""",L65FE8N_HHS,BN44-01441A,0137650521CA,270,2070,-1714,356,0,0,0,0,1600,400,0,0,0,0,0,0,0,0,2000,2356,286,
,SEH (PD),2026-06-27 02:00:00,2026-06-25 00:00:00,"55""",L55E70A_HVD,BN44-01426A,0137556092CA,300,,4354,,,,,,,,,,,,,,,,,,,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"55""",L55E70A_HVD,BN44-01426A,0137556092CA,5500,,-1146,,,,,,,,,,,,,,,,,,,
,SEDA,Waiting booking,2026-06-28 00:00:00,"55""",L55E70A_HVD,BN44-01426A,0137556092CA,1034,,-2180,,,,,,,,,,0,0,,,,,,,,
,SAMEX,2026-06-27 17:00:00,2026-06-30 00:00:00,"55""",L55E70A_HVD,BN44-01426A,0137556092CA,2072,8906,-4252,4654,0,0,0,3500,3500,1727,0,0,0,0,0,0,0,0,8727,13381,4475,
,SAMEX,2026-06-24 14:00:00,2026-06-23 00:00:00,"83""",L83CA9N_HVD,BN44-01398A,0137830051CA,282,,1294,,,,,,,,,,,,,,,,,,,
,SEH (PD),2026-06-27 02:00:00,2026-06-25 00:00:00,"83""",L83CA9N_HVD,BN44-01398A,0137830051CA,985,,309,,,,,,,,,,,,,,,,,,,
,SEEG,Waiting booking,2026-06-29 00:00:00,"83""",L83CA9N_HVD,BN44-01398A,0137830051CA,13,,296,,,,,,,,,,,,,,,,,,,
,SAMEX,2026-06-27 17:00:00,2026-06-30 00:00:00,"83""",L83CA9N_HVD,BN44-01398A,0137830051CA,1500,2780,-1204,1576,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,1700,3276,496,
,SAMEX,2026-06-24 14:00:00,2026-06-23 00:00:00,"55""",L55CA9N_HVD,BN44-01395A,0137556089CA,1878,,7827,,,,,,,,,,,,,,,,,,,
,SAMEX,2026-06-24 14:00:00,2026-06-23 00:00:00,"55""",L55CA9N_HVD,BN44-01395A,0137556089CA,2852,,4975,,,,,,,,,,,,,,,,,,,
,SEH (PD),2026-06-27 02:00:00,2026-06-25 00:00:00,"55""",L55CA9N_HVD,BN44-01395A,0137556089CA,4390,,585,,,,,,,,,,,,,,,,,,,
,SAMEX,2026-06-27 17:00:00,2026-06-30 00:00:00,"55""",L55CA9N_HVD,BN44-01395A,0137556089CA,3500,12620,-2915,9705,0,0,0,2990,3660,0,0,0,0,0,0,0,0,0,6650,16355,3735,
,SEHC,2026-06-25 00:00:00,2026-06-25 00:00:00,"65""",L65CA9N_HVD,BN44-01396A,0137650478CA,4000,,-333,,,,,,,,,,,,,,,,,,,
