date,shift,process,line,time_slot,model,loss_min,loss_type_code,loss_type_name,complexity,loss_detail,sub_idx,action,target,actual,target_mi,actual_mi,target_ate,actual_ate
2026-06-06,DAY,SMT,PS01,A,L65S8_HVD,35.0,MOUTER,Mouter불량,복합,Lỗi mouter cắm văng linh kiện Change model,1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,B,L85E70NA_HVD,120.0,NEW_MODEL,신규모델,복합,"Kỹ thuật setup model mới chạy trên line , S.AOI làm chương trình",1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,C,L85E70NA_HVD,60.0,AOI_SAOI,AOI/S-AOI불량,복합,Kỹ thuật chỉnh chương trình S.AOI,1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,D,L85E70NA_HVD,30.0,AOI_SAOI,AOI/S-AOI불량,복합,Kỹ thuật chỉnh chương trình S.AOI,1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,E,L85E70NA_HVD,20.0,AOI_SAOI,AOI/S-AOI불량,복합,Kỹ thuật chỉnh chương trình S.AOI,1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,F,L85E70NA_HVD,60.0,AOI_SAOI,AOI/S-AOI불량,복합,Kỹ thuật chỉnh chương trình S.AOI,1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,TOTAL,L65S8_HVD,35.0,MOUTER,Mouter불량,복합,Lỗi mouter cắm văng linh kiện Change model,1,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,1595.0,936.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,TOTAL,L65S8_HVD,120.0,NEW_MODEL,신규모델,복합,"Kỹ thuật setup model mới chạy trên line , S.AOI làm chương trình",2,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,1595.0,936.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS01,TOTAL,L65S8_HVD,170.0,AOI_SAOI,AOI/S-AOI불량,복합,Kỹ thuật chỉnh chương trình S.AOI,3,Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh  | Kỹ thậu điều chỉnh ,1595.0,936.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS02,A,L75S7A_HVD,75.0,MOUTER,Mouter불량,복합,Change model đầu h Lỗi mouter cắn văng linh kiện,1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | Kỹ thuật điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS02,B,L65S7_HVD,60.0,MOUTER,Mouter불량,복합,"Lỗi mấy mouter cắm văng linh kiện , Change model",1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | Kỹ thuật điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS02,TOTAL,L75S7A_HVD,135.0,MOUTER,Mouter불량,단일,Change model đầu h Lỗi mouter cắn văng linh kiện,1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | Kỹ thuật điều chỉnh ,2630.0,1980.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS08,A,L55S7_HVD,35.0,MOUTER,Mouter불량,복합,Lỗi printer và mouter cắm văng linh kiện,1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS08,TOTAL,L55S7_HVD,35.0,MOUTER,Mouter불량,단일,Lỗi printer và mouter cắm văng linh kiện,1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh ,2640.0,2176.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS11,A,L65FE80N_HHS,30.0,MOUTER,Mouter불량,복합,Mouter cắm không ổn định,1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DAY,SMT,PS11,TOTAL,L65FE80N_HHS,30.0,MOUTER,Mouter불량,단일,Mouter cắm không ổn định,1,kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh  | kỹ thuật điều chỉnh ,1375.0,1150.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS01,F,L85E70NA-HVD,39.0,PRINTER,Printer불량,단일,"Lỗi S-AOI từ 23:12-23:30, Bể ống khí máy priter từ 23:40-00:00",1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS01,G,L85E70NA-HVD,43.0,PRINTER,Printer불량,단일,"Lỗi S-AOI từ 23:12-23:30, Bể ống khí máy priter từ 23:40-00:00",1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS01,H,L85E70NA-HVD,12.0,PRINTER,Printer불량,단일,"Lỗi S-AOI từ 23:12-23:30, Bể ống khí máy priter từ 23:40-00:00",1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS01,I,L85E70NA-HVD,8.0,PRINTER,Printer불량,단일,"Lỗi S-AOI từ 23:12-23:30, Bể ống khí máy priter từ 23:40-00:00",1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS01,TOTAL,L85E70NA-HVD,102.0,PRINTER,Printer불량,단일,"Lỗi S-AOI từ 23:12-23:30, Bể ống khí máy priter từ 23:40-00:00",1,,1200.0,1070.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS02,F,L65S7-HVD,10.0,CHANGE_MODEL,모델교체,복합,Tách lot,1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS02,TOTAL,L65S7-HVD,10.0,CHANGE_MODEL,모델교체,단일,Tách lot | change model từ 06:30-07:10,1,,2456.0,2055.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS03,F,L65E70A-HVD,44.0,ETC,기타,복합,"Issue ngược cực linh kiện dừng line, tách hàng",1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS03,G,L65E70A-HVD,50.0,PRINTER,Printer불량,복합,Lỗi priter tràn keo S-AOI vừa test vừa xử lí keo đỏ ko ra hàng,1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS03,H,L65E70A-HVD,12.0,ETC,기타,복합,"Issue ngược cực linh kiện dừng line, tách hàng",1,,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS03,TOTAL,L65E70A-HVD,44.0,ETC,기타,복합,"Issue ngược cực linh kiện dừng line, tách hàng",1,,1150.0,1150.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS03,TOTAL,L65E70A-HVD,62.0,PRINTER,Printer불량,복합,Lỗi priter tràn keo S-AOI vừa test vừa xử lí keo đỏ ko ra hàng,2,,1150.0,1150.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS04,F,L55CA9N-HVD,64.0,NEW_MODEL,신규모델,복합,model chạy lần đầu lỗi moutor pickup liên tục,1,kỹ thuật đang điều chỉnh | kỹ thuật đang điều chỉnh | kỹ thuật đang điều chỉnh | kỹ thuật đang điều chỉnh,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NIGHT,SMT,PS04,G,L55CA9N-HVD,88.0,NEW_MODEL,신규모델,복합,"model chạy lần đầu lỗi moutor pickup liên tục, SPI bắt lỗi ảo vừa chạy vừa pass",1,kỹ thuật đang điều chỉnh | kỹ thuật đang điều chỉnh | kỹ thuật đang điều chỉnh | kỹ thuật đang điều chỉnh,0.0,0.0,0.0,0.0,0.0,0.0
