date,shift,process,line,target,actual,target_mi,actual_mi,target_ate,actual_ate
2026-07-04,NIGHT,MI,MI 2,0.0,0.0,681.0,380.0,2700.0,2500.0
2026-07-04,NIGHT,MI,MI 3,0.0,0.0,681.0,2360.0,2700.0,2539.0
2026-07-04,NIGHT,MI,MI 4,0.0,0.0,740.0,700.0,2744.0,1195.0
2026-07-04,NIGHT,MI,MI 5,0.0,0.0,624.0,445.0,2585.0,2495.0
2026-07-04,NIGHT,MI,MI 6,0.0,0.0,391.0,466.0,1550.0,1566.0
2026-07-04,NIGHT,MI,MI 7,0.0,0.0,456.0,134.0,1235.0,503.0
2026-07-04,DAY,MI,MI 2,0.0,0.0,2860.0,2860.0,2860.0,266.0
2026-07-04,DAY,MI,MI 3,0.0,0.0,798.0,2860.0,2860.0,3158.0
2026-07-04,DAY,MI,MI 4,0.0,0.0,781.0,2775.0,2800.0,2685.0
2026-07-04,DAY,MI,MI 5,0.0,0.0,535.0,2215.0,2611.0,2062.0
2026-07-04,DAY,MI,MI 6,0.0,0.0,481.0,554.0,1723.0,1269.0
2026-07-04,DAY,MI,MI 7,0.0,0.0,366.0,414.0,1310.0,1071.0
2026-07-06,DAY,MI,MI 2,0.0,0.0,759.0,253.0,2720.0,0.0
2026-07-06,DAY,MI,MI 3,0.0,0.0,798.0,0.0,2860.0,0.0
2026-07-06,DAY,MI,MI 4,0.0,0.0,391.0,0.0,1400.0,0.0
2026-07-06,DAY,MI,MI 5,0.0,0.0,535.0,0.0,2556.0,0.0
2026-07-06,DAY,MI,MI 6,0.0,0.0,479.0,0.0,1717.0,0.0
2026-07-06,DAY,MI,MI 7,0.0,0.0,377.0,0.0,1352.0,0.0
2026-07-04,DAY,AI,SA01,1839.0,2182.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA02,1486.0,1162.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA03,1060.0,1269.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA04,1839.0,2149.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA05,1255.0,1050.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA07,1060.0,1321.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA08,1060.0,1323.0,0.0,0.0,0.0,0.0
2026-07-04,DAY,AI,SA10,1060.0,1217.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA01,1769.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA02,1429.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA03,1020.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA04,1769.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA05,510.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA07,1020.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA08,1020.0,0.0,0.0,0.0,0.0,0.0
2026-07-04,NIGHT,AI,SA10,1020.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA01,1855.0,1985.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA02,1645.0,1543.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA03,1060.0,1142.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA04,1855.0,2042.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA05,530.0,473.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA07,1060.0,1280.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA08,1060.0,1046.0,0.0,0.0,0.0,0.0
2026-07-03,DAY,AI,SA10,1060.0,1306.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA01,1769.0,1990.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA02,1769.0,1900.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA03,1020.0,1037.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA04,1769.0,1920.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA05,510.0,487.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA07,1020.0,1290.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA08,1020.0,1310.0,0.0,0.0,0.0,0.0
2026-07-03,NIGHT,AI,SA10,1088.0,1073.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS01,1100.0,631.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS02,2200.0,881.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS03,1100.0,1017.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS04,1100.0,554.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS05,2200.0,1724.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS06,2200.0,2200.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS08,2200.0,647.0,0.0,0.0,0.0,0.0
2026-07-05,DAY,SMT,PS11,1100.0,453.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS01,2000.0,2000.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS02,1440.0,1440.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS03,1100.0,1096.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS04,2200.0,2247.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS05,2200.0,1689.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS06+PS07,2200.0,2046.0,0.0,0.0,0.0,0.0
2026-07-05,NIGHT,SMT,PS08,2000.0,1741.0,0.0,0.0,0.0,0.0
