work_date,process,line,model,qty,cause_code,cause_name,result_group,result_code,result_desc,reason_code,reason_desc,is_auto,comment
2026-06-05,MI,MI 5,L43E60A_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-05,MI,MI 4,L43E60A_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-01,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-01,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-01,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-01,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B204,ICT_PM#01,D109,ETC ( Add Comment ),N,MI :: SCRAP do công nhân thả ngược bo vào máy ICT dập bể
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B204,ICT_PM#01,D109,ETC ( Add Comment ),N,MI :: SCRAP do công nhân thả ngược bo vào máy ICT dập bể
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B204,ICT_PM#01,D109,ETC ( Add Comment ),N,PE :: SCRAP Do bo lệch vị trí test dẫn đến khi press hạ xuống test và làm bo cấn vào pin chuẩn gây ra hiện tượng bể bo
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B204,ICT_PM#01,D109,ETC ( Add Comment ),N,PE :: SCRAP Do bo lệch vị trí test dẫn đến khi press hạ xuống test và làm bo cấn vào pin chuẩn gây ra hiện tượng bể bo
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,PE :: SCRAP thả tồn phát hiện bể ( không rõ nguyên nhân )
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,PE :: SCRAP thả tồn phát hiện bể ( không rõ nguyên nhân )
2026-06-03,MI,MI 7,L48CA9N_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,PE :: SCRAP thả tồn phát hiện bể ( không rõ nguyên nhân )
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
